Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,L18minusL12,-1138.58
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,L16minusL14,-426.5499999999997
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,L18minusL14,-404.6199999999999
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,S02minusS92,-1063.0699999999997
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,S12minusS92,-2597.64
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,S12minusS02,-1534.5700000000002
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L6minusL1,-391.96000000000004
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L12minusL1,-1007.3899999999994
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L14minusL1,-1314.5099999999998
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L16minusL1,-1426.8899999999999
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L18minusL1,-1539.06
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L12minusL6,-615.4299999999994
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L14minusL6,-922.5499999999997
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L16minusL6,-1034.9299999999998
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L18minusL6,-1147.1
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L14minusL12,-307.12000000000035
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L16minusL12,-419.50000000000045
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L18minusL12,-531.6700000000005
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L16minusL14,-112.38000000000011
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L18minusL14,-224.55000000000018
18,-6651.530000000028,4047.1699999999255,5016.25,-2527.26,3.0,L18minusL16,-112.17000000000007
19,-3908.8099999999977,7523.209999999963,3085.35,-2407.58,19.36,S02minusS92,-1142.94
19,-3908.8099999999977,7523.209999999963,3085.35,-2407.58,19.36,S12minusS92,-101.09000000000015
19,-3908.8099999999977,7523.209999999963,3085.35,-2407.58,19.36,L6minusL1,-54.9699999999998
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,S02minusS92,-567.6300000000001
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,S12minusS92,-1462.7799999999997
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,S12minusS02,-895.1499999999996
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L6minusL1,-85.01000000000022
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L12minusL1,-938.9800000000005
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L14minusL1,-1121.33
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L16minusL1,-820.54
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L18minusL1,-2334.2500000000005
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L12minusL6,-853.9700000000003
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L14minusL6,-1036.3199999999997
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L16minusL6,-735.5299999999997
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L18minusL6,-2249.2400000000002
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L14minusL12,-182.34999999999945
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L18minusL12,-1395.27
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L18minusL14,-1212.9200000000005
20,-2702.780000000028,12178.28000000026,2898.88,-2629.99,14.0,L18minusL16,-1513.7100000000005
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,S02minusS92,-420.2900000000004
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,S12minusS92,-2802.05
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,S12minusS02,-2381.76
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L6minusL1,-906.4699999999998
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L12minusL1,-1521.3399999999997
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L14minusL1,-1691.11
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L16minusL1,-1464.1699999999998
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L18minusL1,-1243.8299999999997
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L12minusL6,-614.8699999999999
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L14minusL6,-784.6400000000001
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L16minusL6,-557.7
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L18minusL6,-337.3599999999999
21,-4552.650000000023,8101.370000000112,2827.99,-2420.19,52.92,L14minusL12,-169.7700000000002
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,S02minusS92,-624.23
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,S12minusS92,-1685.54
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,S12minusS02,-1061.31
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L6minusL1,-456.3000000000002
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L12minusL1,-982.3000000000002
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L14minusL1,-1002.0
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L16minusL1,-912.7800000000002
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L18minusL1,-955.3700000000003
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L12minusL6,-526.0
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L14minusL6,-545.6999999999998
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L16minusL6,-456.48
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L18minusL6,-499.07000000000016
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L14minusL12,-19.699999999999818
22,-4898.089999999967,7626.799999999814,2547.26,-2416.22,34.01,L18minusL16,-42.590000000000146
